PROJ,HASHID_FIX,HASHID_INDUCE,FILE
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MultiColumnVersionStrategy.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,90b84c5d73db4d0d7fa3e5520358912961b59c43,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MultiColumnVersionStrategy.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ProductDerivations.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,f27898f28082a42624d7dd5c7768523ef6b16f61,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ProductDerivations.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,7a6d34e95f66e916e44b844b1ce6551ba8169539,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,2bbbcc9d735a66b64afc1a8bcdba13ab151242db,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Options.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,4ddf63ea3f0ed80c6efa8877201d909900965244,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Options.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,b9183699ba5e4eb2335772077f2b0d8918767fb8,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Options.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,bf8ffa5ced5bda9a67d87fc43bd4336509112e74,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Options.java
